ISBN13,review
9791160946918,"추천을 많이 받아서 구매해서 보게 됐어요! 어린이를 어리고 미성숙한 존재로만 볼게 아니고 한 사람, 한 사람. 하나의 인격체로 대하고 존중해야 하는데 우리 사회가 점점 더 어린이들을 그냥 하나의 쩌리 존재로 구성하고 돌아가는 것 같아 좀 슬프네요. 많은 어른들이 이 책을 보고 또 어린이에 대해 생각하면서 어린이들을 존중하고 잘 자란 어른이 될 수 있도록 많이 도와줬으면 좋겠어요."
9791160946918,"어린이라는 세계
저자 김소영
출판 사계절
발매 2020.11.16.
  요즘 인기작들의 특징인가.
긴긴밤도 내가 읽은 책과 책나눔 친구의 표지가 달랐는데
어린이라는 세계도 내가 읽은 책과 요 위의 표지가 다르다.
새로운 쇄를 펴낼 때 표지를 다양하게 하는 것이 트렌드인가?
어린이라는 세계는 독서교실을 운영하는 김소영선생님이 어린이들과 만나면서
빛나는 순간들을, 선생님의 생각들을 철학들을 담은 책이다.
어린이들의 말에 어른으로서 부끄럽지만 깨달음을 얻는 순간들의 기록,
담담하게 인정하는 모습,
그리고 방향을 제시하는 말들이 좋았다.
형광펜을 무척 많이 그었다.
한 꼭지 읽고 아까워서 한 템포 쉬면서 내용을 곱씹고
또 한 꼭지 읽고 아까워서 지인에게 추천하고
또 한 꼭지 읽고 선물하고 싶은 지인이 생각나 선물하고..
그래서.
아이러니하게도 너무 좋아서 책에 집중이 안된 책이랄까.
전국의 모든 선생님들이 읽으면 좋겠다는 큰 꿈을 꾸게한 책이다.
   "
9791160946918,"언젠가부터 이 책을 참 재미있게 읽었다는 리뷰가 눈에 들어왔습니다. 평소 제가 좋아하던 분들이 줄 지어서 긍정적인 리뷰를 올리시더라구요. 그러니 이 책을 안 볼 이유가 없었죠. 서점에서 책을 찬찬히 읽어보는데 마음이 몽글몽글해 지는게, 오랜만에 참 귀여운 책을 만난 기분이었습니다. 어른이 되면서 어린이의 마음을 잊고 지낸지 꽤 된 것 같네요. 그래서 이 책이 반가웠습니다."
9791160946918,"김소영 작가님이 쓰신 어린이라는 세계 리뷰입니다.
주변에서 재미있다는 추천을 많이 받아 읽어보게 되었는데요.
새로운 시각에서 바라보는 어린이라는 세계. 정말 흥미롭고 재미있었어요.
그동안 사회에서 어린이는 어른보다 미성숙한 존재라고 많이들 인식되고 있는데
(특히 주린이라던지 ~린이라는 표현들을 볼 때)
이 책을 읽으면서 아 어린이는 이러한 존재들이구나 단지 어른이 아직 되지 못한 이들이라고 생각하면 안되겠구나 하는 생각들이 들었습니다.
어린이 역시 우리 사회에 속해있는 하나의 인격체로서 존중해야할 필요성을 강하게 느끼게 되었어요.
정말 책을 읽는 내내 어린이들의 생생한 에피소드들이 너무나 재미있어 웃음을 감출 수 없었어요.
 "
9791160946918,"아이를 키우고는 있지만 이 책을 읽기 전에는 어린이에 대해서 크게 관심이 없었어요
아직은 제 아이가 어린이 범주에 들지 않아서 일수도 있겠지만요
그런데 이 책을 읽고 나서는 길 가는 어린이들이 다른 시선으로 보여요
하나의 성숙한(어쩌면 어른보다 더) 인격체로 보이는 마법을 경험했어요
그리고 막 말도 걸고 싶어지고 존칭도 써주고 싶어지고요
김소영 작가님이 운영하시는 독서 교실에 제 아이를 보내보고 싶다는 생각도 듭니다
물론 그럴 가능성은 거의 없겠지만요
이 책을 모든 어른들에게 필독서로 권하고 싶어요"
9791160946918,"책을 읽으며 여러번 나의 어린 시절로 거슬러올라갔다. 분명 나도 아이에서 어른이 되었는데, 왜 나는 어린이를 어른과 많이 다른 사람으로 인식하고 있었을까? 어린이도 어른처럼 고민이 있고, 진지한데 말이다. 김소영 작가는 어린이를 한 명의 인격체로 존중했다. 그래서 자신이 하는 독서교실의 오는 어린이들을 대할때도 품위를 지켜주려고 하고, 아이들의 생각을 어른의 잣대로 판단하지 않았다. 그런 멋진 태도로 아이들을 대했기때문에 이런 좋은 책이 나올 수 있었나보다."
9791160946918,"어린이라곤 어쩌다 한번씩, 잠깐 만나는 조카들이 전부였던 인생이었는데 올초부터 업무의 변화와 함께 어린이 친구들이 일상에 크게 자리를 차지하고 있다. 김소영 작가처럼 현재 나의 세계 역시 어린이를 빼놓고는 설명할 수 없는 상황이다. 업무에 대한 만족도도 높고 어린이를 위하는 마음도 언제나 특별한데 어느덧 내 마음속엔 어린이들을 향한 고민도 늘어났다. 아니 비상상황에 직면했다고 해도 과장이 아니다. 상반기 동안 나에게 일어난 변화 중 가장 큰 변화는 특화된 업무가 어린이 친구들에게 쉼없이 주의를 주고 혼내는 것으로 바꼈다는 것인데 분명 이건 심각한 일이다.
   어린이에게 '착하다'는 말을 잘 쓰지 않는다. 착한 마음을 가지고 살기에 세상이 거칠기 때문이기도 하고, 그렇기 때문에 착하다는 말이 약하다는 말처럼 들릴 때가 많아서이기도 하다. 더 큰 이유는 어린이들이 '착한 어린이가 되어야 한다'고 생각할 것이 두려워서다. 착하다는 게 대체 뭘까? 사전에는 '언행이나 마음씨가 곱고 바르며 상냥하다'고 설명되어 있지만, 실제로도 그런 뜻으로 쓰이는지는 잘 모르겠다. 그보다는 어른들의 말과 뜻을 거스르지 않는 어린이에게 착하다고 할 때가 더 많은 것 같다. 그러니 어린이에게 착하다고 하는 건 너무 위계적인 표현 아닌가. p.32
  출간과 동시에 반응이 뜨거웠던 김소영 작가의 『어린이라는 세계』를 이제서야 읽어보게 됐다. 문학에 대한 관심과 현재 업무의 연관성 등을 고려해보면 진작 읽었어야 하는 책인데 개인적으로 지각 독서를 했다. 그만큼 책에 대한 기대도 높을수밖에 없었는데 어린이 독서교실을 운영하는 작가가 내내 따뜻한 시선으로 보여주는 『어린이라는 세계』는 너무 내 책이었다. 어떤 챕터에선 너무나 적나라한 내 상황에 대한 이야기에 괜히 찔리기도 했는데 책의 존재를 진작 알고 있었음에도 왜 독서를 미뤄왔던 걸까, 더 빨리 읽었더라면 그만큼 더 빨리 더 나은 사람이 될 수 있었을텐데라는 아쉬움과 반성이 쉼없이 밀려왔다. 
   어린이를 만드는 건 어린이 자신이다. 그리고 '자신'안에는 즐거운 추억과 성취뿐 아니라 상처와 흉터도 들어간다. 장점뿐 아니라 단점도 어린이의 것이다. 남과 다른 점뿐 아니라 남과 비슷한 점도, 심지어 남과 똑같은 점도 어린이 고유의 것이다. 개성을 '고유성'으로 바꾸어 생각하면서 나는 세상에 얼마나 다양한 사람들이 살고 있는지 비로소 깨달았다. 우리가 살아가면서 매 순간 새로운 자신을 만들어 간다고 할 때, '다양하다'는 사실상 '무한하다'에 가깝다고도 할 수 있다. p.91
  『어린이라는 세계』는 출판계에 일으키고 있는 뜨거운 반응처럼 독자들의 마음을 따뜻을 넘어 뜨겁게 해주는 책이다. 독서 초반 마음을 울리는 구절, 다시금 나의 상황을 점검하고 돌아보게 되는 구절 등에 부지런히 인덱스 테이프를 붙이다가 몇페이지 읽지도 않았는데 여기저기 붙어있는 인덱스 테이프를 보며 인덱스 테이프가 소용없는 책이라고 빠르게 인정하고 인덱스 테이프 붙이기를 그만뒀다. 작가의 모든 시선과 통찰이 중요하고 귀하다. 그러니까 『어린이라는 세계』는 처음부터 끝까지 중요하고 귀한것들로 가득하다. 방심하고 있다가 웃음이 터지기도 하고 눈시울이 붉어지고 코끝이 찡해지기도 하면서 한동안 잊고 살았던 과거의 나를 만나기도 하고 너무 모르고 살았던 어린이라는 세계를 조우하기도 한다. 나는 원래 새해에도 계획이나 목표를 세우는 사람이 아닌데 『어린이라는 세계』를 읽고 난 후 어린이 친구들을 대하고 업무를 수행하는데 있어서 어린이들에게 느긋한 어른이 되고 싶고 어린이들의 품위를 지켜주는 품위 있는 어른이 되고 싶다는 몇가지 바람을 가지고 다짐을 하며 마음을 다시 잡아보는 계기를 가지게 됐다. 
   어린이는 이성으로 가르친다! 이것이 나 자신의 사훈社訓이다. 어린이 한 명 한 명을 존중하고, 그들의 지적 정서적 성장을 돕고, 좋을 때 좋게 헤어지는 것. 직업 윤리와 진실한 자세만 있다면 굳이 '사랑으로' 가르치지 않고도 성과가 있다고 믿는다. 나는 어린이를 사랑하는지 사랑하지 않는지를 생각하지 않는다. 좀 더 솔직히 말하면, 생각하지 않으려고 노력한다. '사랑'이란 내가 다루기에 너무 크고 어렵고 조심스러운 것이다. 나도 모르는 사이에 이미 마음이 드러날지도 모르니 늘 조심해야 한다고 다짐한다. p.151
  『어린이라는 세계』를 보며 좀 더 괜찮은 어른이 되고싶다는 욕심을 가지게 된다. 사라진 줄 알았던 나였던 그 아이를 내 속에서 다시 발견하여 반갑기도 하고 너무 어른이 된 나 자신을 돌아보며 마음이 씁쓸해지기도 한다. 어른이라면 누구나 읽어야 할 책이고 하루라도 빨리 읽어봐야 할 책이다. 그나저나 이슬아 작가의 『부지런한 사랑』을 읽을때도 그랬는데 김소영 작가의 『어린이의 세계』까지 읽고나니 어린이 글쓰기, 독서교실에 대한 로망이 왜이렇게나 크게 생기는지 모르겠다. 나는 그럴 능력이 1도 없는데 말이죠."
9791160946918,"어린이에 대해 생각할수록 우리의 세계는 넓어진다. 어린이는 잘 보이지 않는다. 몸이 작아서이기도 하고, 목소리가 작아서이기도 하다. 양육이나 교육, 돌봄을 맡고 있는 사람이 아니라면 우리 곁에 어린이가 ‘있다’는 사실을 의식하지 못한 채 살아가기 쉽다. 저자가 어린이의 존재를 더 잘 보이게 하기 위해 글을 썼다는 느낌이 역력했다

이 책에는 김소영이 어린이들과 만나며 발견한, 작고 약한 존재들이 분주하게 배우고 익히며 자라나는 세계가 담겨 있다. 이 세계의 어린이는 우리 곁의 어린이이기도 하고, 우리 모두가 통과해온 어린이이기도 하며, 동료 시민이자 다음 세대를 이루는 어린이이기도 하다.

어린이들 특유의 생각과 행동을 유심히 관찰하고 기록하는 김소영의 글은 어린이의 세계에 반응하며 깨닫는 어른의 역할과 모든 구성원에게 합당한 자리를 마련해야 할 사회의 의무에 이르기까지 점차 넓게 확장해 간다.

어린이를 더 잘 이해해 보려는 노력은 나 자신을, 이웃을, 우리 사회를 구석구석까지 살피려는 마음과 다르지 않다. 이 책을 통해 우리는 모두가 경험하지만 누구도 선뜻 중요하다고 말하지 못했던 어린이에 관한 이야기를 비로소 시작해 볼 수 있을 것이다."
9791160946918,"어린이에 대해 생각할수록 우리의 세계는 넓어진다. 어린이는 잘 보이지 않는다. 몸이 작아서이기도 하고, 목소리가 작아서이기도 하다. 양육이나 교육, 돌봄을 맡고 있는 사람이 아니라면 우리 곁에 어린이가 ‘있다’는 사실을 의식하지 못한 채 살아가기 쉽다. 저자가 어린이의 존재를 더 잘 보이게 하기 위해 글을 썼다는 느낌이 역력했다

이 책에는 김소영이 어린이들과 만나며 발견한, 작고 약한 존재들이 분주하게 배우고 익히며 자라나는 세계가 담겨 있다. 이 세계의 어린이는 우리 곁의 어린이이기도 하고, 우리 모두가 통과해온 어린이이기도 하며, 동료 시민이자 다음 세대를 이루는 어린이이기도 하다.

어린이들 특유의 생각과 행동을 유심히 관찰하고 기록하는 김소영의 글은 어린이의 세계에 반응하며 깨닫는 어른의 역할과 모든 구성원에게 합당한 자리를 마련해야 할 사회의 의무에 이르기까지 점차 넓게 확장해 간다.

어린이를 더 잘 이해해 보려는 노력은 나 자신을, 이웃을, 우리 사회를 구석구석까지 살피려는 마음과 다르지 않다. 이 책을 통해 우리는 모두가 경험하지만 누구도 선뜻 중요하다고 말하지 못했던 어린이에 관한 이야기를 비로소 시작해 볼 수 있을 것이다."
9791160946918,"어린이에 대해 생각할수록 우리의 세계는 넓어진다. 어린이는 잘 보이지 않는다. 몸이 작아서이기도 하고, 목소리가 작아서이기도 하다. 양육이나 교육, 돌봄을 맡고 있는 사람이 아니라면 우리 곁에 어린이가 ‘있다’는 사실을 의식하지 못한 채 살아가기 쉽다. 저자가 어린이의 존재를 더 잘 보이게 하기 위해 글을 썼다는 느낌이 역력했다

이 책에는 김소영이 어린이들과 만나며 발견한, 작고 약한 존재들이 분주하게 배우고 익히며 자라나는 세계가 담겨 있다. 이 세계의 어린이는 우리 곁의 어린이이기도 하고, 우리 모두가 통과해온 어린이이기도 하며, 동료 시민이자 다음 세대를 이루는 어린이이기도 하다.

어린이들 특유의 생각과 행동을 유심히 관찰하고 기록하는 김소영의 글은 어린이의 세계에 반응하며 깨닫는 어른의 역할과 모든 구성원에게 합당한 자리를 마련해야 할 사회의 의무에 이르기까지 점차 넓게 확장해 간다.

어린이를 더 잘 이해해 보려는 노력은 나 자신을, 이웃을, 우리 사회를 구석구석까지 살피려는 마음과 다르지 않다. 이 책을 통해 우리는 모두가 경험하지만 누구도 선뜻 중요하다고 말하지 못했던 어린이에 관한 이야기를 비로소 시작해 볼 수 있을 것이다."
